id,url,zh_tw,en,translate,note
教育,https://www.airav.wiki/,教育,Education,教育,
培训,https://www.airav.wiki/,培训,Training,培训,
指导,https://www.airav.wiki/,指导,Guidance,指导,
教程,https://www.airav.wiki/,教程,Tutorial,教程,
指南,https://www.airav.wiki/,指南,Guide,指南,
手册,https://www.airav.wiki/,手册,Manual,手册,
说明,https://www.airav.wiki/,说明,Instructions,说明,
介绍,https://www.airav.wiki/,介绍,Introduction,介绍,
概述,https://www.airav.wiki/,概述,Overview,概述,
摘要,https://www.airav.wiki/,摘要,Summary,摘要,
详情,https://www.airav.wiki/,详情,Details,详情,
信息,https://www.airav.wiki/,信息,Information,信息,
资料,https://www.airav.wiki/,资料,Data,资料,
文档,https://www.airav.wiki/,文档,Document,文档,
文件,https://www.airav.wiki/,文件,File,文件,
图片,https://www.airav.wiki/,图片,Image,图片,
照片,https://www.airav.wiki/,照片,Photo,照片,
截图,https://www.airav.wiki/,截图,Screenshot,截图,
封面,https://www.airav.wiki/,封面,Cover,封面,
海报,https://www.airav.wiki/,海报,Poster,海报,
宣传图,https://www.airav.wiki/,宣传图,Promotional Image,宣传图,
样张,https://www.airav.wiki/,样张,Sample,样张,
预览,https://www.airav.wiki/,预览,Preview,预览,
预告,https://www.airav.wiki/,预告,Trailer,预告,
片花,https://www.airav.wiki/,片花,Behind the Scenes,片花,
花絮,https://www.airav.wiki/,花絮,Bloopers,花絮,
幕后,https://www.airav.wiki/,幕后,Behind the Scenes,幕后,
制作,https://www.airav.wiki/,制作,Production,制作,
拍摄,https://www.airav.wiki/,拍摄,Filming,拍摄,
导演,https://www.airav.wiki/,导演,Director,导演,
制片,https://www.airav.wiki/,制片,Producer,制片,
监制,https://www.airav.wiki/,监制,Executive Producer,监制,
编剧,https://www.airav.wiki/,编剧,Screenwriter,编剧,
摄影,https://www.airav.wiki/,摄影,Cinematography,摄影,
剪辑,https://www.airav.wiki/,剪辑,Editing,剪辑,
配音,https://www.airav.wiki/,配音,Dubbing,配音,
字幕,https://www.airav.wiki/,字幕,Subtitle,字幕,
翻译,https://www.airav.wiki/,翻译,Translation,翻译,
配音,https://www.airav.wiki/,配音,Voice Acting,配音,
音效,https://www.airav.wiki/,音效,Sound Effects,音效,
配乐,https://www.airav.wiki/,配乐,Music,配乐,
原声,https://www.airav.wiki/,原声,Soundtrack,原声,
主题曲,https://www.airav.wiki/,主题曲,Theme Song,主题曲,
片尾曲,https://www.airav.wiki/,片尾曲,Ending Theme,片尾曲,
插曲,https://www.airav.wiki/,插曲,Insert Song,插曲,
背景音乐,https://www.airav.wiki/,背景音乐,Background Music,背景音乐,
环境音,https://www.airav.wiki/,环境音,Ambient Sound,环境音,
对话,https://www.airav.wiki/,对话,Dialogue,对话,
独白,https://www.airav.wiki/,独白,Monologue,独白,
旁白,https://www.airav.wiki/,旁白,Narration,旁白,
解说,https://www.airav.wiki/,解说,Commentary,解说,
访谈,https://www.airav.wiki/,访谈,Interview,访谈,
采访,https://www.airav.wiki/,采访,Interview,采访,
对话,https://www.airav.wiki/,对话,Conversation,对话,
交流,https://www.airav.wiki/,交流,Communication,交流,
互动,https://www.airav.wiki/,互动,Interaction,互动,
参与,https://www.airav.wiki/,参与,Participation,参与,
投入,https://www.airav.wiki/,投入,Investment,投入,
专注,https://www.airav.wiki/,专注,Focused,专注,
投入,https://www.airav.wiki/,投入,Engaged,投入,
热情,https://www.airav.wiki/,热情,Passionate,热情,
激情,https://www.airav.wiki/,激情,Passion,激情,
情感,https://www.airav.wiki/,情感,Emotion,情感,
情绪,https://www.airav.wiki/,情绪,Mood,情绪,
感觉,https://www.airav.wiki/,感觉,Feeling,感觉,
感受,https://www.airav.wiki/,感受,Sensation,感受,
体验,https://www.airav.wiki/,体验,Experience,体验,
经历,https://www.airav.wiki/,经历,Experience,经历,
回忆,https://www.airav.wiki/,回忆,Memory,回忆,
记忆,https://www.airav.wiki/,记忆,Memory,记忆,
印象,https://www.airav.wiki/,印象,Impression,印象,
影响,https://www.airav.wiki/,影响,Impact,影响,
作用,https://www.airav.wiki/,作用,Effect,作用,
效果,https://www.airav.wiki/,效果,Result,效果,
结果,https://www.airav.wiki/,结果,Outcome,结果,
后果,https://www.airav.wiki/,后果,Consequence,后果,
影响,https://www.airav.wiki/,影响,Influence,影响,
改变,https://www.airav.wiki/,改变,Change,改变,
改进,https://www.airav.wiki/,改进,Improve,改进,
提升,https://www.airav.wiki/,提升,Enhance,提升,
优化,https://www.airav.wiki/,优化,Optimize,优化,
完善,https://www.airav.wiki/,完善,Perfect,完善,
完美,https://www.airav.wiki/,完美,Perfect,完美,
理想,https://www.airav.wiki/,理想,Ideal,理想,
梦想,https://www.airav.wiki/,梦想,Dream,梦想,
愿望,https://www.airav.wiki/,愿望,Wish,愿望,
希望,https://www.airav.wiki/,希望,Hop,希望,
期待,https://www.airav.wiki/,期待,Expect,期待,
盼望,https://www.airav.wiki/,盼望,Look Forward To,盼望,
渴望,https://www.airav.wiki/,渴望,Long For,渴望,
需求,https://www.airav.wiki/,需求,Need,需求,
要求,https://www.airav.wiki/,要求,Requirement,要求,
标准,https://www.airav.wiki/,标准,Standard,标准,
规范,https://www.airav.wiki/,规范,Specification,规范,
准则,https://www.airav.wiki/,准则,Guideline,准则,
原则,https://www.airav.wiki/,原则,Principle,原则,
理念,https://www.airav.wiki/,理念,Concept,理念,
观念,https://www.airav.wiki/,观念,Idea,观念,
思想,https://www.airav.wiki/,思想,Thought,思想,
思维,https://www.airav.wiki/,思维,Thinking,思维,
思考,https://www.airav.wiki/,思考,Think,思考,
考虑,https://www.airav.wiki/,考虑,Consider,考虑,
衡量,https://www.airav.wiki/,衡量,Measure,衡量,
评估,https://www.airav.wiki/,评估,Evaluate,评估,
判断,https://www.airav.wiki/,判断,Judge,判断,
决定,https://www.airav.wiki/,决定,Decide,决定,
选择,https://www.airav.wiki/,选择,Choose,选择,
挑选,https://www.airav.wiki/,挑选,Select,挑选,
筛选,https://www.airav.wiki/,筛选,Filter,筛选,
过滤,https://www.airav.wiki/,过滤,Filter,过滤,
排除,https://www.airav.wiki/,排除,Exclude,排除,
包含,https://www.airav.wiki/,包含,Include,包含,
涵盖,https://www.airav.wiki/,涵盖,Cover,涵盖,
覆盖,https://www.airav.wiki/,覆盖,Cover,覆盖,
包围,https://www.airav.wiki/,包围,Surround,包围,
环绕,https://www.airav.wiki/,环绕,Encircle,环绕,
围绕,https://www.airav.wiki/,围绕,Around,围绕,
围绕,https://www.airav.wiki/,围绕,Revolve Around,围绕,
围绕,https://www.airav.wiki/,围绕,Circle Around,围绕,
围绕,https://www.airav.wiki/,围绕,Center Around,围绕,
围绕,https://www.airav.wiki/,围绕,Focus Around,围绕,
围绕,https://www.airav.wiki/,围绕,Concentrate Around,围绕,
围绕,https://www.airav.wiki/,围绕,Emphasize Around,围绕,
围绕,https://www.airav.wiki/,围绕,Highlight Around,围绕
